"@timestamp","kubernetes.labels.app_kubernetes_io/instance","kubernetes.container.memory.usage.bytes","kubernetes.container.cpu.usage.nanocores"
"December 10th 2019, 00:36:59.106","node-6","97,173,504","2,742,188"
"December 10th 2019, 00:36:59.106","node-3","114,483,200","2,473,484"
"December 10th 2019, 00:36:46.787","node-2","186,142,720","4,372,169"
"December 10th 2019, 00:36:46.787","node-5","101,900,288","2,560,113"
"December 10th 2019, 00:36:46.787","node-14","94,494,720","1,319,837"
"December 10th 2019, 00:36:28.199","node-12","97,308,672","3,063,271"
"December 10th 2019, 00:36:28.199","node-9","110,780,416","6,791,189"
"December 10th 2019, 00:36:28.199","node-20","99,794,944","2,420,703"
"December 10th 2019, 00:36:28.199","node-19","100,143,104","2,797,878"
"December 10th 2019, 00:36:28.199","node-7","128,528,384","6,625,551"
"December 10th 2019, 00:36:11.732","node-15","102,965,248","2,458,834"
"December 10th 2019, 00:36:11.732","node-13","103,784,448","4,097,341"
"December 10th 2019, 00:36:11.732","node-16","97,284,096","2,236,399"
"December 10th 2019, 00:36:08.888","node-28","94,064,640","2,502,180"
"December 10th 2019, 00:36:08.888","node-22","95,789,056","4,123,925"
"December 10th 2019, 00:36:08.888","node-1","121,823,232","4,121,827"
"December 10th 2019, 00:36:08.888","node-8","98,697,216","2,124,713"
"December 10th 2019, 00:36:08.888","node-18","154,546,176","4,309,314"
"December 10th 2019, 00:36:08.888","node-4","102,756,352","4,658,279"
"December 10th 2019, 00:34:59.106","node-17","97,415,168","5,573,626"
"December 10th 2019, 00:34:59.106","node-10","145,625,088","4,909,491"
"December 10th 2019, 00:34:59.106","node-6","98,185,216","2,852,181"
"December 10th 2019, 00:34:59.106","node-25","101,740,544","4,257,508"
"December 10th 2019, 00:34:59.106","node-46","98,971,648","3,617,633"
"December 10th 2019, 00:34:59.106","node-50","99,684,352","2,118,422"
"December 10th 2019, 00:34:59.106","node-3","114,774,016","3,531,278"
"December 10th 2019, 00:34:59.106","node-40","106,971,136","2,536,592"
"December 10th 2019, 00:34:59.106","node-32","103,657,472","4,436,760"
"December 10th 2019, 00:34:59.106","node-11","102,707,200","3,222,602"
"December 10th 2019, 00:34:59.106","node-37","104,919,040","2,792,267"
"December 10th 2019, 00:34:59.106","node-23","118,808,576","5,254,940"
"December 10th 2019, 00:34:59.106","node-24","105,525,248","3,492,646"
"December 10th 2019, 00:34:59.106","node-44","107,421,696","4,623,379"
"December 10th 2019, 00:34:46.787","node-56","103,952,384","2,400,853"
"December 10th 2019, 00:34:46.787","node-49","102,973,440","3,330,675"
"December 10th 2019, 00:34:46.787","node-27","104,710,144","5,530,727"
"December 10th 2019, 00:34:46.787","node-2","186,114,048","6,977,331"
"December 10th 2019, 00:34:46.787","node-5","103,456,768","5,470,045"
"December 10th 2019, 00:34:46.787","node-14","92,872,704","3,244,565"
"December 10th 2019, 00:34:46.787","node-43","100,519,936","10,243,214"
"December 10th 2019, 00:34:46.787","node-21","99,880,960","3,408,344"
"December 10th 2019, 00:34:46.787","node-34","107,180,032","3,942,981"
"December 10th 2019, 00:34:46.787","node-30","101,007,360","2,862,179"
"December 10th 2019, 00:34:46.787","node-36","103,649,280","2,524,421"
"December 10th 2019, 00:34:28.200","node-48","108,769,280","8,033,976"
"December 10th 2019, 00:34:28.200","node-29","102,711,296","3,418,595"
"December 10th 2019, 00:34:28.200","node-19","100,913,152","7,161,717"
"December 10th 2019, 00:34:28.200","node-54","107,134,976","6,083,731"
"December 10th 2019, 00:34:28.200","node-9","110,080,000","6,296,111"
"December 10th 2019, 00:34:28.200","node-26","108,154,880","4,649,567"
"December 10th 2019, 00:34:28.200","node-39","103,796,736","5,253,769"
"December 10th 2019, 00:34:28.200","node-52","105,988,096","4,403,540"
"December 10th 2019, 00:34:28.200","node-57","105,877,504","3,679,349"
"December 10th 2019, 00:34:28.200","node-12","98,172,928","4,658,371"
"December 10th 2019, 00:34:28.200","node-7","160,546,816","3,555,865"
"December 10th 2019, 00:34:28.200","node-20","101,605,376","6,298,357"
"December 10th 2019, 00:34:11.732","node-33","96,030,720","5,133,090"
"December 10th 2019, 00:34:11.732","node-58","91,942,912","2,602,932"
"December 10th 2019, 00:34:11.732","node-51","102,883,328","6,287,520"
"December 10th 2019, 00:34:11.732","node-31","98,410,496","6,618,884"
"December 10th 2019, 00:34:11.732","node-53","100,966,400","4,481,060"
"December 10th 2019, 00:34:11.732","node-15","104,210,432","8,354,888"
"December 10th 2019, 00:34:11.732","node-13","103,911,424","2,577,680"
"December 10th 2019, 00:34:11.732","node-16","98,594,816","6,783,916"
"December 10th 2019, 00:34:08.888","node-63","101,761,024","5,064,042"
"December 10th 2019, 00:34:08.888","node-18","155,574,272","10,744,164"
"December 10th 2019, 00:34:08.888","node-28","95,158,272","4,361,091"
"December 10th 2019, 00:34:08.888","node-22","96,698,368","4,949,506"
"December 10th 2019, 00:34:08.888","node-47","98,729,984","5,365,405"
"December 10th 2019, 00:34:08.888","node-42","152,121,344","4,154,817"
"December 10th 2019, 00:34:08.888","node-8","99,450,880","4,604,988"
"December 10th 2019, 00:34:08.888","node-35","104,931,328","6,361,010"
"December 10th 2019, 00:34:08.888","node-41","103,845,888","8,208,547"
"December 10th 2019, 00:34:08.888","node-38","107,802,624","9,062,405"
"December 10th 2019, 00:34:08.888","node-61","103,313,408","9,259,689"
"December 10th 2019, 00:34:08.888","node-60","106,954,752","4,374,020"
"December 10th 2019, 00:34:08.888","node-71","99,377,152","2,921,423"
"December 10th 2019, 00:34:08.888","node-45","93,605,888","6,429,393"
"December 10th 2019, 00:34:08.888","node-4","102,588,416","8,780,980"
"December 10th 2019, 00:34:08.888","node-1","123,342,848","4,747,353"
"December 10th 2019, 00:34:08.888","node-65","99,692,544","6,458,635"
"December 10th 2019, 00:32:59.106","node-67","100,810,752","4,477,449"
"December 10th 2019, 00:32:59.106","node-10","177,082,368","3,713,460"
"December 10th 2019, 00:32:59.106","node-75","102,313,984","6,143,182"
"December 10th 2019, 00:32:59.106","node-11","103,280,640","3,165,738"
"December 10th 2019, 00:32:59.106","node-37","104,751,104","6,314,651"
"December 10th 2019, 00:32:59.106","node-88","104,804,352","6,865,228"
"December 10th 2019, 00:32:59.106","node-70","98,426,880","8,257,698"
"December 10th 2019, 00:32:59.106","node-24","104,947,712","6,844,833"
"December 10th 2019, 00:32:59.106","node-3","116,645,888","6,939,727"
"December 10th 2019, 00:32:59.106","node-23","117,616,640","4,519,877"
"December 10th 2019, 00:32:59.106","node-25","101,740,544","6,858,127"
"December 10th 2019, 00:32:59.106","node-32","102,158,336","4,622,012"
"December 10th 2019, 00:32:59.106","node-96","102,883,328","6,391,683"
"December 10th 2019, 00:32:59.106","node-64","101,384,192","3,605,160"
"December 10th 2019, 00:32:59.106","node-91","98,934,784","6,175,225"
"December 10th 2019, 00:32:59.106","node-50","98,037,760","4,699,153"
"December 10th 2019, 00:32:59.106","node-40","106,696,704","3,214,086"
"December 10th 2019, 00:32:59.106","node-69","95,584,256","3,997,711"
"December 10th 2019, 00:32:59.106","node-17","96,448,512","6,763,483"
"December 10th 2019, 00:32:59.106","node-44","107,491,328","4,546,904"
"December 10th 2019, 00:32:59.106","node-55","100,143,104","2,440,594"
"December 10th 2019, 00:32:59.106","node-6","98,000,896","2,939,751"
"December 10th 2019, 00:32:59.106","node-84","102,891,520","4,557,158"
"December 10th 2019, 00:32:59.106","node-46","96,595,968","4,538,364"
"December 10th 2019, 00:32:46.787","node-59","96,591,872","5,900,009"
"December 10th 2019, 00:32:46.787","node-100","99,037,184","3,549,546"
"December 10th 2019, 00:32:46.787","node-68","101,838,848","4,425,198"
"December 10th 2019, 00:32:46.787","node-30","100,061,184","5,441,972"
"December 10th 2019, 00:32:46.787","node-49","104,628,224","6,219,213"
"December 10th 2019, 00:32:46.787","node-95","94,625,792","5,696,591"
"December 10th 2019, 00:32:46.787","node-43","99,635,200","5,576,241"
"December 10th 2019, 00:32:46.787","node-74","103,510,016","6,969,453"
"December 10th 2019, 00:32:46.787","node-2","186,089,472","4,506,407"
"December 10th 2019, 00:32:46.787","node-5","102,424,576","8,575,778"
"December 10th 2019, 00:32:46.787","node-87","96,333,824","5,779,439"
"December 10th 2019, 00:32:46.787","node-14","94,437,376","4,432,366"
"December 10th 2019, 00:32:46.787","node-56","104,394,752","6,173,427"
"December 10th 2019, 00:32:46.787","node-82","102,875,136","3,263,640"
"December 10th 2019, 00:32:46.787","node-66","97,271,808","15,389,495"
"December 10th 2019, 00:32:46.787","node-77","100,589,568","5,591,357"
"December 10th 2019, 00:32:46.787","node-34","106,455,040","5,464,987"
"December 10th 2019, 00:32:46.787","node-36","103,256,064","2,901,736"
"December 10th 2019, 00:32:46.787","node-27","104,632,320","16,834,076"
"December 10th 2019, 00:32:46.787","node-62","94,875,648","4,064,411"
"December 10th 2019, 00:32:46.787","node-21","99,012,608","3,484,852"
"December 10th 2019, 00:32:28.199","node-52","105,988,096","8,803,918"
"December 10th 2019, 00:32:28.199","node-80","97,144,832","6,422,083"
"December 10th 2019, 00:32:28.199","node-79","100,646,912","3,971,415"
"December 10th 2019, 00:32:28.199","node-29","102,965,248","3,832,376"
"December 10th 2019, 00:32:28.199","node-85","95,514,624","5,686,045"
"December 10th 2019, 00:32:28.199","node-12","97,304,576","8,307,207"
"December 10th 2019, 00:32:28.199","node-97","104,370,176","6,367,716"
"December 10th 2019, 00:32:28.199","node-54","104,873,984","4,312,373"
"December 10th 2019, 00:32:28.199","node-7","167,378,944","6,921,431"
"December 10th 2019, 00:32:28.199","node-92","101,421,056","6,294,397"
"December 10th 2019, 00:32:28.199","node-39","101,888,000","5,012,509"
"December 10th 2019, 00:32:28.199","node-57","105,844,736","5,453,496"
"December 10th 2019, 00:32:28.199","node-9","109,817,856","7,268,974"
"December 10th 2019, 00:32:28.199","node-19","100,286,464","8,229,749"
"December 10th 2019, 00:32:28.199","node-48","107,696,128","5,462,289"
"December 10th 2019, 00:32:28.199","node-20","101,576,704","3,178,408"
"December 10th 2019, 00:32:28.199","node-26","107,950,080","7,224,357"
"December 10th 2019, 00:32:28.199","node-99","102,363,136","4,279,528"
"December 10th 2019, 00:32:11.732","node-58","91,668,480","2,683,651"
"December 10th 2019, 00:32:11.732","node-33","94,998,528","5,180,256"
"December 10th 2019, 00:32:11.732","node-13","100,864,000","4,087,871"
"December 10th 2019, 00:32:11.732","node-89","94,601,216","3,855,732"
"December 10th 2019, 00:32:11.732","node-51","100,978,688","3,478,268"
"December 10th 2019, 00:32:11.732","node-90","96,096,256","7,385,622"
"December 10th 2019, 00:32:11.732","node-31","97,062,912","4,284,968"
"December 10th 2019, 00:32:11.732","node-53","102,191,104","6,196,965"
"December 10th 2019, 00:32:11.732","node-16","98,566,144","3,304,555"
"December 10th 2019, 00:32:11.732","node-98","99,819,520","6,222,643"
"December 10th 2019, 00:32:11.732","node-15","103,428,096","4,762,450"
"December 10th 2019, 00:32:11.732","node-81","99,868,672","4,390,224"
"December 10th 2019, 00:32:11.732","node-76","96,350,208","5,536,487"
"December 10th 2019, 00:32:11.732","node-78","98,095,104","5,329,890"
"December 10th 2019, 00:32:11.732","node-72","96,210,944","4,388,995"
"December 10th 2019, 00:32:08.888","node-93","102,334,464","5,028,801"
"December 10th 2019, 00:32:08.888","node-86","102,662,144","3,165,860"
"December 10th 2019, 00:32:08.888","node-45","93,917,184","15,464,451"
"December 10th 2019, 00:32:08.888","node-8","99,213,312","6,361,695"
"December 10th 2019, 00:32:08.888","node-28","94,359,552","3,256,523"
"December 10th 2019, 00:32:08.888","node-83","99,938,304","5,354,683"
"December 10th 2019, 00:32:08.888","node-71","98,603,008","7,079,135"
"December 10th 2019, 00:32:08.888","node-73","103,579,648","3,335,579"
"December 10th 2019, 00:32:08.888","node-4","102,084,608","6,619,097"
"December 10th 2019, 00:32:08.888","node-65","100,773,888","5,901,450"
"December 10th 2019, 00:32:08.888","node-63","101,220,352","5,026,494"
"December 10th 2019, 00:32:08.888","node-35","102,703,104","4,453,876"
"December 10th 2019, 00:32:08.888","node-42","151,355,392","5,095,598"
"December 10th 2019, 00:32:08.888","node-1","123,334,656","3,126,844"
"December 10th 2019, 00:32:08.888","node-94","101,613,568","3,173,807"
"December 10th 2019, 00:32:08.888","node-22","96,673,792","4,784,666"
"December 10th 2019, 00:32:08.888","node-61","102,858,752","4,539,536"
"December 10th 2019, 00:32:08.888","node-41","103,845,888","5,799,731"
"December 10th 2019, 00:32:08.888","node-60","106,954,752","6,965,404"
"December 10th 2019, 00:32:08.888","node-18","155,336,704","6,260,017"
"December 10th 2019, 00:32:08.888","node-38","106,352,640","3,247,694"
"December 10th 2019, 00:32:08.888","node-47","98,717,696","3,774,861"
"December 10th 2019, 00:30:59.106","node-44","106,848,256","4,942,162"
"December 10th 2019, 00:30:59.106","node-55","99,950,592","6,123,052"
"December 10th 2019, 00:30:59.106","node-25","101,388,288","3,679,088"
"December 10th 2019, 00:30:59.106","node-6","97,980,416","4,565,004"
"December 10th 2019, 00:30:59.106","node-67","100,798,464","3,015,768"
"December 10th 2019, 00:30:59.106","node-32","102,981,632","4,009,930"
"December 10th 2019, 00:30:59.106","node-91","110,903,296","5,181,245"
"December 10th 2019, 00:30:59.106","node-46","96,997,376","5,462,218"
"December 10th 2019, 00:30:59.106","node-96","104,390,656","4,803,101"
"December 10th 2019, 00:30:59.106","node-88","103,677,952","3,712,617"
"December 10th 2019, 00:30:59.106","node-75","101,568,512","3,379,925"
"December 10th 2019, 00:30:59.106","node-69","95,924,224","3,491,527"
"December 10th 2019, 00:30:59.106","node-3","114,204,672","5,340,743"
"December 10th 2019, 00:30:59.106","node-84","102,752,256","7,214,216"
"December 10th 2019, 00:30:59.106","node-40","106,635,264","4,658,673"
