"@timestamp","kubernetes.labels.app_kubernetes_io/instance","kubernetes.pod.network.tx.bytes","kubernetes.pod.network.rx.bytes"
"December 10th 2019, 00:36:58.070","node-3","32,545,805","36,102,044"
"December 10th 2019, 00:36:58.070","node-6","33,516,220","31,648,921"
"December 10th 2019, 00:36:49.779","node-2","133,250,564","134,178,465"
"December 10th 2019, 00:36:49.779","node-5","62,713,035","57,292,025"
"December 10th 2019, 00:36:21.926","node-12","34,275,319","34,704,795"
"December 10th 2019, 00:36:21.926","node-19","30,537,944","33,361,563"
"December 10th 2019, 00:36:21.926","node-20","32,274,446","31,152,636"
"December 10th 2019, 00:36:21.926","node-7","140,671,122","141,875,284"
"December 10th 2019, 00:36:21.926","node-9","121,823,835","137,739,313"
"December 10th 2019, 00:36:11.619","node-28","30,378,786","35,388,398"
"December 10th 2019, 00:36:11.619","node-22","37,527,340","37,822,571"
"December 10th 2019, 00:36:11.619","node-1","39,294,410","39,396,248"
"December 10th 2019, 00:36:11.619","node-4","129,122,403","138,488,997"
"December 10th 2019, 00:36:11.619","node-8","31,826,270","31,642,250"
"December 10th 2019, 00:36:11.619","node-18","132,679,490","145,642,968"
"December 10th 2019, 00:36:11.440","node-15","76,318,186","72,863,221"
"December 10th 2019, 00:36:11.440","node-13","74,526,096","68,849,197"
"December 10th 2019, 00:36:11.440","node-16","64,738,266","61,406,605"
"December 10th 2019, 00:34:58.070","node-3","32,528,383","36,079,776"
"December 10th 2019, 00:34:58.070","node-25","34,938,091","33,639,122"
"December 10th 2019, 00:34:58.070","node-10","126,730,907","136,477,982"
"December 10th 2019, 00:34:58.070","node-37","33,872,567","32,332,838"
"December 10th 2019, 00:34:58.070","node-50","33,942,709","31,879,446"
"December 10th 2019, 00:34:58.070","node-17","32,292,315","31,248,796"
"December 10th 2019, 00:34:58.070","node-23","122,112,407","131,030,686"
"December 10th 2019, 00:34:58.070","node-40","35,417,370","33,893,065"
"December 10th 2019, 00:34:58.070","node-46","31,409,099","29,918,246"
"December 10th 2019, 00:34:58.070","node-6","33,500,326","31,628,065"
"December 10th 2019, 00:34:58.070","node-24","33,117,422","33,347,611"
"December 10th 2019, 00:34:58.070","node-11","31,160,096","34,055,938"
"December 10th 2019, 00:34:58.070","node-44","32,816,200","31,136,964"
"December 10th 2019, 00:34:58.070","node-32","34,199,388","33,119,643"
"December 10th 2019, 00:34:49.779","node-56","77,462,413","74,518,127"
"December 10th 2019, 00:34:49.779","node-34","67,697,476","69,916,878"
