"@timestamp","kubernetes.labels.app_kubernetes_io/instance","kubernetes.container.memory.usage.bytes","kubernetes.container.cpu.usage.nanocores"
"December 9th 2019, 21:46:59.106","node-12","205,266,944","2,432,848"
"December 9th 2019, 21:46:59.106","node-8","232,386,560","4,856,604"
"December 9th 2019, 21:46:59.106","node-1","131,940,352","2,548,006"
"December 9th 2019, 21:46:46.787","node-3","231,309,312","2,495,958"
"December 9th 2019, 21:46:46.787","node-5","209,338,368","3,648,518"
"December 9th 2019, 21:46:46.787","node-9","215,982,080","4,708,848"
"December 9th 2019, 21:46:46.787","node-13","212,488,192","2,526,486"
"December 9th 2019, 21:46:28.199","node-17","209,842,176","6,274,715"
"December 9th 2019, 21:46:28.199","node-14","212,824,064","2,322,177"
"December 9th 2019, 21:46:28.199","node-10","206,106,624","2,766,822"
"December 9th 2019, 21:46:28.199","node-15","221,069,312","8,696,334"
"December 9th 2019, 21:46:28.199","node-7","210,563,072","2,173,875"
"December 9th 2019, 21:46:11.732","node-18","205,410,304","4,448,699"
"December 9th 2019, 21:46:11.732","node-30","230,076,416","8,384,796"
"December 9th 2019, 21:46:11.732","node-28","220,102,656","4,964,761"
"December 9th 2019, 21:46:11.732","node-16","97,841,152","3,677,367"
"December 9th 2019, 21:46:11.732","node-24","218,025,984","8,348,092"
"December 9th 2019, 21:46:08.888","node-4","194,191,360","3,967,739"
"December 9th 2019, 21:46:08.888","node-2","209,797,120","2,910,635"
"December 9th 2019, 21:46:08.888","node-20","211,861,504","3,074,123"
"December 9th 2019, 21:46:08.888","node-11","219,058,176","2,345,197"
"December 9th 2019, 21:46:08.888","node-6","227,201,024","3,154,297"
"December 9th 2019, 21:44:59.106","node-27","218,660,864","4,002,059"
"December 9th 2019, 21:44:59.106","node-8","233,140,224","3,739,510"
"December 9th 2019, 21:44:59.106","node-32","233,967,616","5,466,962"
"December 9th 2019, 21:44:59.106","node-44","215,433,216","3,574,495"
"December 9th 2019, 21:44:59.106","node-1","131,788,800","2,695,373"
"December 9th 2019, 21:44:59.106","node-19","213,463,040","3,705,471"
"December 9th 2019, 21:44:59.106","node-39","232,611,840","8,803,970"
"December 9th 2019, 21:44:59.106","node-23","207,069,184","8,943,804"
"December 9th 2019, 21:44:59.106","node-22","207,884,288","3,059,127"
"December 9th 2019, 21:44:59.106","node-12","206,270,464","3,669,318"
"December 9th 2019, 21:44:46.790","node-21","238,080,000","3,525,686"
"December 9th 2019, 21:44:46.790","node-35","224,669,696","4,919,429"
"December 9th 2019, 21:44:46.790","node-9","217,739,264","5,569,605"
"December 9th 2019, 21:44:46.790","node-26","119,541,760","3,050,449"
"December 9th 2019, 21:44:46.790","node-53","225,333,248","21,145,654"
"December 9th 2019, 21:44:46.790","node-33","213,676,032","5,367,268"
"December 9th 2019, 21:44:46.790","node-45","229,478,400","14,498,080"
"December 9th 2019, 21:44:46.790","node-25","228,225,024","3,762,285"
"December 9th 2019, 21:44:46.790","node-13","213,762,048","5,329,559"
"December 9th 2019, 21:44:46.790","node-42","237,285,376","3,866,668"
"December 9th 2019, 21:44:46.790","node-51","210,743,296","10,602,624"
"December 9th 2019, 21:44:46.790","node-5","209,809,408","3,049,410"
"December 9th 2019, 21:44:46.790","node-3","232,427,520","3,849,672"
"December 9th 2019, 21:44:46.790","node-29","217,427,968","6,157,586"
"December 9th 2019, 21:44:28.199","node-14","213,131,264","3,301,084"
"December 9th 2019, 21:44:28.199","node-17","209,506,304","2,749,651"
"December 9th 2019, 21:44:28.199","node-55","210,800,640","6,479,860"
"December 9th 2019, 21:44:28.199","node-40","226,267,136","4,730,551"
"December 9th 2019, 21:44:28.199","node-15","221,294,592","9,664,970"
"December 9th 2019, 21:44:28.199","node-10","208,044,032","5,046,882"
"December 9th 2019, 21:44:28.199","node-57","220,839,936","17,501,495"
"December 9th 2019, 21:44:28.199","node-7","210,952,192","3,388,574"
"December 9th 2019, 21:44:28.199","node-49","208,691,200","5,090,720"
"December 9th 2019, 21:44:28.199","node-31","231,505,920","9,771,432"
"December 9th 2019, 21:44:11.732","node-48","238,215,168","7,722,382"
"December 9th 2019, 21:44:11.732","node-28","220,463,104","8,815,005"
"December 9th 2019, 21:44:11.732","node-36","230,154,240","2,893,111"
"December 9th 2019, 21:44:11.732","node-30","231,350,272","3,868,325"
"December 9th 2019, 21:44:11.732","node-41","218,316,800","5,737,972"
"December 9th 2019, 21:44:11.732","node-54","229,109,760","7,647,636"
"December 9th 2019, 21:44:11.732","node-18","206,372,864","5,760,600"
"December 9th 2019, 21:44:11.732","node-52","227,270,656","6,866,487"
"December 9th 2019, 21:44:11.732","node-37","211,980,288","4,979,373"
"December 9th 2019, 21:44:11.732","node-16","99,651,584","3,110,070"
"December 9th 2019, 21:44:11.732","node-34","264,355,840","3,505,673"
"December 9th 2019, 21:44:11.732","node-60","240,758,784","12,636,594"
"December 9th 2019, 21:44:11.732","node-24","250,548,224","4,574,285"
"December 9th 2019, 21:44:08.888","node-2","210,776,064","6,702,365"
"December 9th 2019, 21:44:08.888","node-70","228,962,304","3,534,848"
"December 9th 2019, 21:44:08.888","node-38","216,211,456","4,186,337"
"December 9th 2019, 21:44:08.888","node-69","227,729,408","12,146,732"
"December 9th 2019, 21:44:08.888","node-46","220,106,752","9,505,119"
"December 9th 2019, 21:44:08.888","node-6","228,528,128","3,505,831"
"December 9th 2019, 21:44:08.888","node-43","226,308,096","4,643,911"
"December 9th 2019, 21:44:08.888","node-64","226,516,992","7,479,920"
"December 9th 2019, 21:44:08.888","node-50","235,532,288","8,200,485"
"December 9th 2019, 21:44:08.888","node-68","217,415,680","2,884,661"
"December 9th 2019, 21:44:08.888","node-11","220,168,192","6,041,696"
"December 9th 2019, 21:44:08.888","node-4","195,768,320","25,098,589"
"December 9th 2019, 21:44:08.888","node-20","212,332,544","5,167,619"
"December 9th 2019, 21:44:08.888","node-47","358,518,784","15,922,516"
"December 9th 2019, 21:42:59.106","node-44","213,553,152","4,346,574"
"December 9th 2019, 21:42:59.106","node-71","227,655,680","7,969,101"
"December 9th 2019, 21:42:59.106","node-23","204,169,216","5,658,453"
"December 9th 2019, 21:42:59.106","node-8","231,305,216","10,214,802"
"December 9th 2019, 21:42:59.106","node-65","223,956,992","4,588,988"
"December 9th 2019, 21:42:59.106","node-22","206,094,336","4,914,337"
"December 9th 2019, 21:42:59.106","node-56","225,857,536","4,530,629"
"December 9th 2019, 21:42:59.106","node-93","219,987,968","12,728,151"
"December 9th 2019, 21:42:59.106","node-27","218,660,864","5,147,443"
"December 9th 2019, 21:42:59.106","node-83","212,287,488","6,844,981"
"December 9th 2019, 21:42:59.106","node-32","232,222,720","5,331,553"
"December 9th 2019, 21:42:59.106","node-77","219,553,792","8,946,648"
"December 9th 2019, 21:42:59.106","node-67","230,965,248","3,102,454"
"December 9th 2019, 21:42:59.106","node-12","207,704,064","4,690,735"
"December 9th 2019, 21:42:59.106","node-39","232,005,632","7,065,329"
"December 9th 2019, 21:42:59.106","node-58","230,993,920","5,134,220"
"December 9th 2019, 21:42:59.106","node-19","211,816,448","5,211,845"
"December 9th 2019, 21:42:59.106","node-59","226,721,792","10,977,532"
"December 9th 2019, 21:42:59.106","node-63","214,491,136","5,944,794"
"December 9th 2019, 21:42:59.106","node-1","132,542,464","4,531,806"
"December 9th 2019, 21:42:59.106","node-75","237,092,864","15,603,870"
"December 9th 2019, 21:42:46.787","node-53","221,982,720","6,696,201"
"December 9th 2019, 21:42:46.787","node-76","210,604,032","4,842,378"
"December 9th 2019, 21:42:46.787","node-33","212,819,968","7,123,072"
"December 9th 2019, 21:42:46.787","node-3","232,411,136","6,443,904"
"December 9th 2019, 21:42:46.787","node-45","228,524,032","5,312,015"
"December 9th 2019, 21:42:46.787","node-42","237,285,376","6,330,266"
"December 9th 2019, 21:42:46.787","node-13","213,725,184","6,878,774"
"December 9th 2019, 21:42:46.787","node-29","217,264,128","6,206,487"
"December 9th 2019, 21:42:46.787","node-88","222,257,152","11,721,639"
"December 9th 2019, 21:42:46.787","node-51","211,853,312","3,340,276"
"December 9th 2019, 21:42:46.787","node-61","220,360,704","4,703,818"
"December 9th 2019, 21:42:46.787","node-62","219,312,128","4,333,188"
"December 9th 2019, 21:42:46.787","node-35","223,571,968","4,886,712"
"December 9th 2019, 21:42:46.787","node-5","208,191,488","7,096,411"
"December 9th 2019, 21:42:46.787","node-78","220,708,864","7,243,838"
"December 9th 2019, 21:42:46.787","node-25","227,266,560","4,023,171"
"December 9th 2019, 21:42:46.787","node-99","221,523,968","2,683,595"
"December 9th 2019, 21:42:46.787","node-26","119,377,920","5,122,330"
"December 9th 2019, 21:42:46.787","node-9","217,051,136","5,720,263"
"December 9th 2019, 21:42:46.787","node-97","238,661,632","3,785,112"
"December 9th 2019, 21:42:46.787","node-66","217,264,128","4,179,640"
"December 9th 2019, 21:42:46.787","node-84","234,004,480","20,909,395"
"December 9th 2019, 21:42:46.787","node-21","237,428,736","6,309,102"
"December 9th 2019, 21:42:28.199","node-15","221,892,608","7,385,134"
"December 9th 2019, 21:42:28.199","node-92","217,628,672","33,028,561"
"December 9th 2019, 21:42:28.199","node-95","208,904,192","50,306,883"
"December 9th 2019, 21:42:28.199","node-14","212,074,496","5,762,280"
"December 9th 2019, 21:42:28.199","node-10","207,970,304","7,583,154"
