"@timestamp","kubernetes.labels.app_kubernetes_io/instance","kubernetes.pod.network.tx.bytes","kubernetes.pod.network.rx.bytes"
"December 9th 2019, 21:46:58.070","node-8","14,198,041","12,854,438"
"December 9th 2019, 21:46:58.070","node-1","70,560,568","75,266,446"
"December 9th 2019, 21:46:58.070","node-12","6,256,190","9,448,254"
"December 9th 2019, 21:46:49.779","node-3","12,107,386","14,648,036"
"December 9th 2019, 21:46:49.779","node-5","6,195,699","9,522,417"
"December 9th 2019, 21:46:49.779","node-13","8,009,282","10,890,838"
"December 9th 2019, 21:46:49.779","node-9","7,894,988","10,719,920"
"December 9th 2019, 21:46:21.926","node-10","7,235,078","9,898,344"
"December 9th 2019, 21:46:21.926","node-14","7,412,365","11,231,429"
"December 9th 2019, 21:46:21.926","node-17","6,719,234","10,424,941"
"December 9th 2019, 21:46:21.926","node-7","6,612,936","9,347,757"
"December 9th 2019, 21:46:21.926","node-15","10,830,676","14,301,600"
"December 9th 2019, 21:46:11.619","node-20","6,845,437","9,954,297"
"December 9th 2019, 21:46:11.619","node-4","5,257,343","8,931,729"
"December 9th 2019, 21:46:11.619","node-11","8,723,364","11,464,339"
"December 9th 2019, 21:46:11.619","node-6","13,793,431","11,059,292"
"December 9th 2019, 21:46:11.619","node-2","7,207,513","12,857,284"
"December 9th 2019, 21:46:11.440","node-30","11,410,119","13,291,746"
"December 9th 2019, 21:46:11.440","node-28","9,229,659","10,675,977"
"December 9th 2019, 21:46:11.440","node-18","6,610,207","10,578,950"
"December 9th 2019, 21:46:11.440","node-24","8,432,924","14,365,666"
"December 9th 2019, 21:46:11.440","node-16","174,195,116","121,228,445"
"December 9th 2019, 21:44:58.070","node-8","14,138,761","12,770,265"
"December 9th 2019, 21:44:58.070","node-23","7,175,824","10,346,737"
"December 9th 2019, 21:44:58.070","node-44","7,119,566","10,796,966"
"December 9th 2019, 21:44:58.070","node-1","70,544,904","75,246,883"
"December 9th 2019, 21:44:58.070","node-27","8,546,774","10,606,994"
"December 9th 2019, 21:44:58.070","node-22","6,624,834","10,520,653"
"December 9th 2019, 21:44:58.070","node-12","6,233,134","9,419,878"
"December 9th 2019, 21:44:58.070","node-32","28,207,442","17,047,758"
"December 9th 2019, 21:44:58.070","node-19","9,519,128","11,541,944"
"December 9th 2019, 21:44:58.070","node-39","14,044,056","15,431,885"
"December 9th 2019, 21:44:58.070","node-56","9,076,506","13,656,614"
"December 9th 2019, 21:44:49.779","node-9","7,852,319","10,651,836"
"December 9th 2019, 21:44:49.779","node-25","8,485,448","11,617,824"
"December 9th 2019, 21:44:49.779","node-3","12,084,192","14,615,690"
"December 9th 2019, 21:44:49.779","node-42","12,346,397","12,909,134"
"December 9th 2019, 21:44:49.779","node-35","9,419,400","14,066,695"
"December 9th 2019, 21:44:49.779","node-13","7,969,556","10,830,889"
"December 9th 2019, 21:44:49.779","node-26","155,759,473","113,351,834"
"December 9th 2019, 21:44:49.779","node-51","7,736,366","10,702,221"
"December 9th 2019, 21:44:49.779","node-45","84,755,244","25,922,402"
"December 9th 2019, 21:44:49.779","node-33","8,150,047","12,638,061"
"December 9th 2019, 21:44:49.779","node-29","7,155,833","10,314,121"
"December 9th 2019, 21:44:49.779","node-21","13,725,203","14,645,728"
"December 9th 2019, 21:44:49.779","node-5","6,161,621","9,471,610"
"December 9th 2019, 21:44:49.779","node-53","8,635,628","12,473,975"
"December 9th 2019, 21:44:21.926","node-40","11,456,557","11,841,349"
"December 9th 2019, 21:44:21.926","node-17","6,695,356","10,392,453"
"December 9th 2019, 21:44:21.926","node-15","10,791,544","14,245,140"
"December 9th 2019, 21:44:21.926","node-49","6,714,659","12,270,809"
"December 9th 2019, 21:44:21.926","node-31","26,672,750","16,286,760"
"December 9th 2019, 21:44:21.926","node-7","6,592,235","9,321,619"
"December 9th 2019, 21:44:21.926","node-14","7,373,213","11,179,661"
"December 9th 2019, 21:44:21.926","node-55","7,662,024","12,770,334"
"December 9th 2019, 21:44:21.926","node-10","7,216,616","9,875,292"
"December 9th 2019, 21:44:21.926","node-57","8,117,079","12,888,861"
"December 9th 2019, 21:44:11.619","node-2","7,188,819","12,832,923"
"December 9th 2019, 21:44:11.619","node-70","11,668,067","13,510,875"
"December 9th 2019, 21:44:11.619","node-69","12,471,033","11,984,900"
"December 9th 2019, 21:44:11.619","node-50","20,491,147","14,366,595"
"December 9th 2019, 21:44:11.619","node-38","6,387,574","10,948,105"
"December 9th 2019, 21:44:11.619","node-43","20,209,335","13,703,736"
"December 9th 2019, 21:44:11.619","node-68","9,036,617","10,299,737"
"December 9th 2019, 21:44:11.619","node-64","9,352,120","13,416,895"
"December 9th 2019, 21:44:11.619","node-11","8,701,260","11,433,296"
"December 9th 2019, 21:44:11.619","node-6","13,777,285","11,037,054"
"December 9th 2019, 21:44:11.619","node-47","114,304,376","85,465,072"
"December 9th 2019, 21:44:11.619","node-20","6,802,061","9,900,448"
"December 9th 2019, 21:44:11.619","node-46","8,457,785","13,122,576"
"December 9th 2019, 21:44:11.619","node-4","5,241,092","8,908,004"
"December 9th 2019, 21:44:11.442","node-48","24,211,599","14,999,491"
"December 9th 2019, 21:44:11.442","node-54","16,611,806","12,682,627"
"December 9th 2019, 21:44:11.442","node-41","7,759,050","13,401,655"
"December 9th 2019, 21:44:11.442","node-28","9,142,927","10,560,711"
"December 9th 2019, 21:44:11.442","node-18","6,572,863","10,527,697"
"December 9th 2019, 21:44:11.442","node-30","11,373,786","13,248,258"
"December 9th 2019, 21:44:11.442","node-16","174,179,530","121,209,082"
"December 9th 2019, 21:44:11.442","node-52","9,560,092","15,870,656"
"December 9th 2019, 21:44:11.442","node-34","16,992,231","14,726,476"
"December 9th 2019, 21:44:11.442","node-24","8,384,559","14,314,681"
"December 9th 2019, 21:44:11.442","node-36","12,748,393","11,950,527"
"December 9th 2019, 21:44:11.442","node-60","16,601,764","19,106,584"
"December 9th 2019, 21:44:11.442","node-37","6,464,582","10,729,865"
"December 9th 2019, 21:42:58.070","node-23","7,116,981","10,275,890"
"December 9th 2019, 21:42:58.070","node-22","6,567,046","10,435,923"
"December 9th 2019, 21:42:58.070","node-12","6,207,984","9,384,569"
"December 9th 2019, 21:42:58.070","node-39","13,992,528","15,350,224"
"December 9th 2019, 21:42:58.070","node-27","8,529,473","10,582,872"
"December 9th 2019, 21:42:58.070","node-93","7,218,949","11,331,302"
"December 9th 2019, 21:42:58.070","node-65","11,576,376","13,206,645"
