"@timestamp","kubernetes.labels.app_kubernetes_io/instance","data.topic","data.created"
"December 9th 2019, 21:05:29.686","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:29.686"
"December 9th 2019, 21:05:28.923","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:28.923"
"December 9th 2019, 21:05:28.703","node-26",zdpuAytiST38opAE6PKLSgwXfpKopxCGgDVxQgqSkCy5ovRB3,"December 9th 2019, 21:05:28.703"
"December 9th 2019, 21:05:28.378","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:28.378"
"December 9th 2019, 21:05:27.687","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:27.687"
"December 9th 2019, 21:05:26.975","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:26.975"
"December 9th 2019, 21:05:26.674","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:26.674"
"December 9th 2019, 21:05:25.884","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:25.884"
"December 9th 2019, 21:05:25.170","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:25.170"
"December 9th 2019, 21:05:24.492","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:24.492"
"December 9th 2019, 21:05:24.270","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:24.270"
"December 9th 2019, 21:05:23.962","node-26",zdpuB1rTrJtHU1P3ZqKdQd5ScySWTLK8mBqSWhA9mscdfdYBX,"December 9th 2019, 21:05:23.962"
"December 9th 2019, 21:05:23.664","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:23.664"
"December 9th 2019, 21:05:23.369","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:23.369"
"December 9th 2019, 21:05:22.462","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:22.462"
"December 9th 2019, 21:05:22.158","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:22.158"
"December 9th 2019, 21:05:21.859","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:21.859"
"December 9th 2019, 21:05:21.581","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:21.581"
"December 9th 2019, 21:05:21.362","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:21.362"
"December 9th 2019, 21:05:21.056","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:21.056"
"December 9th 2019, 21:05:20.754","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:20.754"
"December 9th 2019, 21:05:19.954","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:19.954"
"December 9th 2019, 21:05:19.651","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:19.651"
"December 9th 2019, 21:05:18.910","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:18.910"
"December 9th 2019, 21:05:18.651","node-26",zdpuAytiST38opAE6PKLSgwXfpKopxCGgDVxQgqSkCy5ovRB3,"December 9th 2019, 21:05:18.651"
"December 9th 2019, 21:05:17.945","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:17.945"
"December 9th 2019, 21:05:17.645","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:17.644"
"December 9th 2019, 21:05:16.576","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:16.576"
"December 9th 2019, 21:05:16.355","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:16.355"
"December 9th 2019, 21:05:15.657","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:15.657"
"December 9th 2019, 21:05:15.437","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:15.437"
"December 9th 2019, 21:05:15.145","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:15.145"
"December 9th 2019, 21:05:14.834","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:14.834"
"December 9th 2019, 21:05:14.578","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:14.578"
"December 9th 2019, 21:05:13.932","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:13.932"
"December 9th 2019, 21:05:13.629","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:13.629"
"December 9th 2019, 21:05:13.315","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:13.315"
"December 9th 2019, 21:05:12.631","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:12.631"
"December 9th 2019, 21:05:12.409","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:12.409"
"December 9th 2019, 21:05:12.183","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:12.183"
"December 9th 2019, 21:05:11.923","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:11.923"
"December 9th 2019, 21:05:11.622","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:11.622"
"December 9th 2019, 21:05:11.368","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:11.368"
"December 9th 2019, 21:05:11.145","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:11.145"
"December 9th 2019, 21:05:10.821","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:10.821"
"December 9th 2019, 21:05:10.503","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:10.503"
"December 9th 2019, 21:05:10.227","node-26",zdpuAytiST38opAE6PKLSgwXfpKopxCGgDVxQgqSkCy5ovRB3,"December 9th 2019, 21:05:10.227"
"December 9th 2019, 21:05:09.420","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:09.420"
"December 9th 2019, 21:05:09.187","node-26",zdpuAytiST38opAE6PKLSgwXfpKopxCGgDVxQgqSkCy5ovRB3,"December 9th 2019, 21:05:09.187"
"December 9th 2019, 21:05:08.311","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:08.311"
"December 9th 2019, 21:05:08.034","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:08.034"
"December 9th 2019, 21:05:07.812","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:07.812"
"December 9th 2019, 21:05:06.972","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:06.972"
"December 9th 2019, 21:05:06.740","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:06.740"
"December 9th 2019, 21:05:06.515","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:06.515"
"December 9th 2019, 21:05:06.284","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:06.284"
"December 9th 2019, 21:05:06.058","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:06.058"
"December 9th 2019, 21:05:05.834","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:05.834"
"December 9th 2019, 21:05:05.610","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:05.610"
"December 9th 2019, 21:05:05.385","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:05.385"
