"@timestamp","kubernetes.labels.app_kubernetes_io/instance","data.size"
"December 9th 2019, 21:47:10.912","node-3",0
"December 9th 2019, 21:46:46.251","node-5",1
"December 9th 2019, 21:46:44.589","node-8",1
"December 9th 2019, 21:46:40.373","node-9",2
"December 9th 2019, 21:46:39.047","node-12",0
"December 9th 2019, 21:46:34.664","node-1",0
"December 9th 2019, 21:46:25.869","node-13",4
"December 9th 2019, 21:46:15.518","node-16",0
"December 9th 2019, 21:46:12.177","node-18",4
"December 9th 2019, 21:46:10.913","node-3",2
"December 9th 2019, 21:46:10.578","node-19",1
"December 9th 2019, 21:46:00.955","node-22",6
"December 9th 2019, 21:46:00.074","node-23",3
"December 9th 2019, 21:45:59.164","node-24",5
"December 9th 2019, 21:45:58.467","node-21",17
"December 9th 2019, 21:45:52.687","node-26",0
"December 9th 2019, 21:45:46.250","node-5",5
"December 9th 2019, 21:45:44.652","node-25",5
"December 9th 2019, 21:45:44.589","node-8",10
"December 9th 2019, 21:45:43.613","node-28",11
"December 9th 2019, 21:45:41.757","node-30",6
"December 9th 2019, 21:45:40.750","node-27",5
"December 9th 2019, 21:45:40.375","node-9",6
"December 9th 2019, 21:45:39.048","node-12",1
"December 9th 2019, 21:45:37.737","node-29",3
"December 9th 2019, 21:45:37.672","node-32",2
"December 9th 2019, 21:45:34.663","node-1",0
"December 9th 2019, 21:45:33.671","node-34",8
"December 9th 2019, 21:45:33.186","node-36",5
"December 9th 2019, 21:45:30.912","node-33",0
"December 9th 2019, 21:45:29.735","node-35",3
"December 9th 2019, 21:45:25.869","node-13",5
"December 9th 2019, 21:45:17.380","node-37",4
"December 9th 2019, 21:45:16.413","node-39",8
"December 9th 2019, 21:45:15.518","node-16",0
"December 9th 2019, 21:45:13.469","node-42",5
"December 9th 2019, 21:45:13.123","node-41",3
"December 9th 2019, 21:45:12.965","node-44",7
"December 9th 2019, 21:45:12.173","node-18",7
"December 9th 2019, 21:45:10.912","node-3",5
"December 9th 2019, 21:45:10.588","node-19",4
"December 9th 2019, 21:45:00.955","node-22",9
"December 9th 2019, 21:45:00.061","node-23",11
"December 9th 2019, 21:44:59.162","node-24",7
"December 9th 2019, 21:44:58.467","node-21",23
"December 9th 2019, 21:44:55.105","node-48",6
"December 9th 2019, 21:44:53.429","node-45",20
"December 9th 2019, 21:44:52.686","node-26",0
"December 9th 2019, 21:44:46.972","node-52",8
"December 9th 2019, 21:44:46.770","node-51",4
"December 9th 2019, 21:44:46.251","node-5",7
"December 9th 2019, 21:44:44.652","node-25",10
"December 9th 2019, 21:44:44.590","node-8",14
"December 9th 2019, 21:44:43.612","node-28",17
"December 9th 2019, 21:44:41.791","node-30",8
"December 9th 2019, 21:44:40.750","node-27",5
"December 9th 2019, 21:44:40.374","node-9",9
"December 9th 2019, 21:44:39.047","node-12",2
"December 9th 2019, 21:44:37.757","node-29",4
"December 9th 2019, 21:44:37.672","node-32",14
