"@timestamp","kubernetes.labels.app_kubernetes_io/instance","data.in","data.out"
"December 9th 2019, 21:47:10.912","node-3",9997,8846
"December 9th 2019, 21:46:46.251","node-5",10128,268
"December 9th 2019, 21:46:44.589","node-8",12076,15896
"December 9th 2019, 21:46:40.373","node-9",11211,1146
"December 9th 2019, 21:46:39.047","node-12",10068,110
"December 9th 2019, 21:46:34.664","node-1",0,0
"December 9th 2019, 21:46:25.869","node-13",10329,625
"December 9th 2019, 21:46:15.518","node-16",0,0
"December 9th 2019, 21:46:12.178","node-18",9810,210
"December 9th 2019, 21:46:10.913","node-3",9997,8846
"December 9th 2019, 21:46:10.578","node-19",10093,5810
"December 9th 2019, 21:46:00.956","node-22",10461,523
"December 9th 2019, 21:46:00.074","node-23",9948,471
"December 9th 2019, 21:45:59.164","node-24",16733,317
"December 9th 2019, 21:45:58.467","node-21",10638,7997
"December 9th 2019, 21:45:52.687","node-26",0,0
"December 9th 2019, 21:45:46.250","node-5",10128,268
"December 9th 2019, 21:45:44.652","node-25",11934,4570
"December 9th 2019, 21:45:44.589","node-8",12076,15896
"December 9th 2019, 21:45:43.613","node-28",10105,1958
"December 9th 2019, 21:45:41.757","node-30",15871,9807
"December 9th 2019, 21:45:40.751","node-27",10522,2159
"December 9th 2019, 21:45:40.375","node-9",11211,1146
"December 9th 2019, 21:45:39.049","node-12",10068,110
"December 9th 2019, 21:45:37.737","node-29",10469,297
"December 9th 2019, 21:45:37.672","node-32",16418,47571
"December 9th 2019, 21:45:34.663","node-1",0,0
"December 9th 2019, 21:45:33.671","node-34",10802,12533
"December 9th 2019, 21:45:33.186","node-36",11682,11496
"December 9th 2019, 21:45:30.912","node-33",10311,275
"December 9th 2019, 21:45:29.735","node-35",10609,244
"December 9th 2019, 21:45:25.869","node-13",10329,625
"December 9th 2019, 21:45:17.381","node-37",10393,317
"December 9th 2019, 21:45:16.414","node-39",11516,3811
"December 9th 2019, 21:45:15.536","node-16",0,0
"December 9th 2019, 21:45:13.469","node-42",16242,12278
"December 9th 2019, 21:45:13.123","node-41",16588,376
"December 9th 2019, 21:45:12.965","node-44",10699,422
"December 9th 2019, 21:45:12.173","node-18",9810,210
"December 9th 2019, 21:45:10.913","node-3",9997,8846
"December 9th 2019, 21:45:10.590","node-19",10093,5810
"December 9th 2019, 21:45:00.955","node-22",10461,523
"December 9th 2019, 21:45:00.061","node-23",9948,471
"December 9th 2019, 21:44:59.162","node-24",16733,317
"December 9th 2019, 21:44:58.467","node-21",10638,7997
"December 9th 2019, 21:44:55.105","node-48",16881,40024
"December 9th 2019, 21:44:53.429","node-45",16067,199427
"December 9th 2019, 21:44:52.686","node-26",0,0
"December 9th 2019, 21:44:46.972","node-52",16669,358
"December 9th 2019, 21:44:46.770","node-51",9795,168
"December 9th 2019, 21:44:46.251","node-5",10128,268
"December 9th 2019, 21:44:44.652","node-25",11934,4570
"December 9th 2019, 21:44:44.590","node-8",12076,15896
"December 9th 2019, 21:44:43.612","node-28",10105,1958
"December 9th 2019, 21:44:41.791","node-30",15871,9807
"December 9th 2019, 21:44:40.750","node-27",10522,2159
"December 9th 2019, 21:44:40.374","node-9",11211,1146
"December 9th 2019, 21:44:39.048","node-12",10068,110
"December 9th 2019, 21:44:37.757","node-29",10469,297
"December 9th 2019, 21:44:37.672","node-32",16418,47571
"December 9th 2019, 21:44:35.484","node-54",11842,21034
"December 9th 2019, 21:44:35.001","node-53",10660,2480
"December 9th 2019, 21:44:34.664","node-1",0,0
"December 9th 2019, 21:44:33.976","node-56",16149,564
"December 9th 2019, 21:44:33.670","node-34",10802,12533
"December 9th 2019, 21:44:33.187","node-36",11682,11496
"December 9th 2019, 21:44:30.913","node-33",10311,275
"December 9th 2019, 21:44:29.937","node-58",16834,373
"December 9th 2019, 21:44:29.754","node-60",16187,4337
"December 9th 2019, 21:44:29.735","node-35",10609,244
"December 9th 2019, 21:44:29.418","node-59",10600,125
"December 9th 2019, 21:44:25.868","node-13",10329,625
"December 9th 2019, 21:44:17.383","node-37",10393,317
"December 9th 2019, 21:44:16.415","node-39",11516,3811
"December 9th 2019, 21:44:15.532","node-61",16276,657
"December 9th 2019, 21:44:15.518","node-16",0,0
"December 9th 2019, 21:44:14.322","node-62",15780,909
"December 9th 2019, 21:44:13.583","node-63",10036,299
"December 9th 2019, 21:44:13.470","node-42",16242,12278
"December 9th 2019, 21:44:13.119","node-41",16588,376
"December 9th 2019, 21:44:12.964","node-44",10699,422
"December 9th 2019, 21:44:12.175","node-18",9810,210
"December 9th 2019, 21:44:10.916","node-3",9997,8846
"December 9th 2019, 21:44:10.577","node-19",10093,5810
"December 9th 2019, 21:44:00.955","node-22",10461,523
"December 9th 2019, 21:44:00.060","node-23",9948,471
"December 9th 2019, 21:43:59.729","node-67",16550,6124
"December 9th 2019, 21:43:59.183","node-24",16733,317
"December 9th 2019, 21:43:58.464","node-21",10638,7997
"December 9th 2019, 21:43:58.431","node-65",15844,10598
"December 9th 2019, 21:43:58.051","node-66",10682,183
"December 9th 2019, 21:43:55.106","node-48",16881,40024
"December 9th 2019, 21:43:53.427","node-45",16067,199427
"December 9th 2019, 21:43:52.687","node-26",0,0
"December 9th 2019, 21:43:47.591","node-71",16220,2306
"December 9th 2019, 21:43:47.120","node-72",12370,3334
"December 9th 2019, 21:43:46.976","node-52",16669,358
"December 9th 2019, 21:43:46.773","node-51",9795,168
"December 9th 2019, 21:43:46.249","node-5",10128,268
"December 9th 2019, 21:43:44.655","node-25",11934,4570
"December 9th 2019, 21:43:44.596","node-8",12076,15896
"December 9th 2019, 21:43:43.613","node-28",10105,1958
"December 9th 2019, 21:43:41.762","node-30",15871,9807
"December 9th 2019, 21:43:40.750","node-27",10522,2159
"December 9th 2019, 21:43:40.381","node-9",11211,1146
"December 9th 2019, 21:43:39.489","node-74",16009,2004
"December 9th 2019, 21:43:39.049","node-12",10068,110
"December 9th 2019, 21:43:37.737","node-29",10469,297
"December 9th 2019, 21:43:37.675","node-32",16418,47571
"December 9th 2019, 21:43:37.656","node-76",13526,377
"December 9th 2019, 21:43:36.914","node-81",14026,397
"December 9th 2019, 21:43:35.467","node-54",11842,21034
"December 9th 2019, 21:43:35.001","node-53",10660,2480
"December 9th 2019, 21:43:34.907","node-75",16363,19471
"December 9th 2019, 21:43:34.664","node-1",0,0
"December 9th 2019, 21:43:33.973","node-56",16149,564
"December 9th 2019, 21:43:33.670","node-34",10802,12533
"December 9th 2019, 21:43:33.187","node-36",11682,11496
"December 9th 2019, 21:43:32.511","node-78",13092,22028
"December 9th 2019, 21:43:31.346","node-77",11452,2832
"December 9th 2019, 21:43:30.910","node-33",10311,275
"December 9th 2019, 21:43:29.936","node-58",16834,373
"December 9th 2019, 21:43:29.889","node-60",16187,4337
"December 9th 2019, 21:43:29.735","node-35",10609,244
"December 9th 2019, 21:43:29.421","node-59",10600,125
"December 9th 2019, 21:43:25.868","node-13",10329,625
"December 9th 2019, 21:43:22.800","node-86",10350,385
"December 9th 2019, 21:43:17.380","node-37",10393,317
"December 9th 2019, 21:43:16.423","node-39",11516,3811
"December 9th 2019, 21:43:15.529","node-61",16276,657
"December 9th 2019, 21:43:15.520","node-16",0,0
"December 9th 2019, 21:43:14.322","node-62",15780,909
"December 9th 2019, 21:43:13.583","node-63",10036,299
"December 9th 2019, 21:43:13.469","node-42",16242,12278
"December 9th 2019, 21:43:13.117","node-41",16588,376
"December 9th 2019, 21:43:12.972","node-44",10699,422
"December 9th 2019, 21:43:12.174","node-18",9810,210
"December 9th 2019, 21:43:10.910","node-3",9997,8846
"December 9th 2019, 21:43:10.580","node-19",10093,5810
"December 9th 2019, 21:43:10.249","node-89",16709,442
"December 9th 2019, 21:43:00.955","node-22",10461,523
"December 9th 2019, 21:43:00.061","node-23",9948,471
"December 9th 2019, 21:42:59.723","node-67",16550,6124
"December 9th 2019, 21:42:59.168","node-24",16733,317
"December 9th 2019, 21:42:58.464","node-21",10638,7997
"December 9th 2019, 21:42:58.430","node-65",15844,10598
"December 9th 2019, 21:42:58.051","node-66",10682,183
"December 9th 2019, 21:42:55.105","node-48",16881,40024
"December 9th 2019, 21:42:54.595","node-94",11611,2040
"December 9th 2019, 21:42:53.428","node-45",16067,199427
"December 9th 2019, 21:42:52.686","node-26",0,0
"December 9th 2019, 21:42:47.592","node-71",16220,2306
"December 9th 2019, 21:42:47.116","node-72",12370,3334
"December 9th 2019, 21:42:46.971","node-52",16669,358
"December 9th 2019, 21:42:46.769","node-51",9795,168
"December 9th 2019, 21:42:46.252","node-5",10128,268
"December 9th 2019, 21:42:44.653","node-25",11934,4570
"December 9th 2019, 21:42:44.589","node-8",12076,15896
"December 9th 2019, 21:42:43.611","node-28",10105,1958
"December 9th 2019, 21:42:41.749","node-30",15871,9807
"December 9th 2019, 21:42:40.749","node-27",10522,2159
"December 9th 2019, 21:42:40.371","node-9",11211,1146
"December 9th 2019, 21:42:39.523","node-74",16009,2004
"December 9th 2019, 21:42:39.048","node-12",10068,110
"December 9th 2019, 21:42:37.733","node-29",10469,297
"December 9th 2019, 21:42:37.671","node-32",16418,47571
"December 9th 2019, 21:42:37.652","node-76",13526,377
"December 9th 2019, 21:42:36.912","node-81",14026,397
"December 9th 2019, 21:42:35.612","node-84",15740,13117
"December 9th 2019, 21:42:35.606","node-83",13325,372
"December 9th 2019, 21:42:35.467","node-54",11842,21034
"December 9th 2019, 21:42:35.001","node-53",10660,2480
"December 9th 2019, 21:42:34.908","node-75",16363,19471
"December 9th 2019, 21:42:34.663","node-1",0,0
"December 9th 2019, 21:42:33.973","node-56",16149,564
"December 9th 2019, 21:42:33.682","node-34",10802,12533
"December 9th 2019, 21:42:33.193","node-36",11682,11496
"December 9th 2019, 21:42:32.509","node-78",13092,22028
"December 9th 2019, 21:42:31.346","node-77",11452,2832
"December 9th 2019, 21:42:30.909","node-33",10311,275
"December 9th 2019, 21:42:29.937","node-58",16834,373
"December 9th 2019, 21:42:29.740","node-60",16187,4337
"December 9th 2019, 21:42:29.737","node-35",10609,244
"December 9th 2019, 21:42:29.418","node-59",10600,125
"December 9th 2019, 21:42:25.869","node-13",10329,625
"December 9th 2019, 21:42:25.290","node-93",11376,639
"December 9th 2019, 21:42:22.801","node-86",10350,385
"December 9th 2019, 21:42:20.782","node-88",12399,6840
"December 9th 2019, 21:42:17.381","node-37",10393,317
"December 9th 2019, 21:42:17.190","node-97",11785,9873
"December 9th 2019, 21:42:16.414","node-39",11516,3811
"December 9th 2019, 21:42:15.963","node-99",12076,1550
"December 9th 2019, 21:42:15.530","node-61",16276,657
"December 9th 2019, 21:42:15.523","node-16",0,0
"December 9th 2019, 21:42:14.322","node-62",15780,909
"December 9th 2019, 21:42:14.083","node-100",14551,384
"December 9th 2019, 21:42:13.584","node-63",10036,299
"December 9th 2019, 21:42:13.477","node-42",16242,12278
"December 9th 2019, 21:42:13.117","node-41",16588,376
"December 9th 2019, 21:42:12.967","node-44",10699,422
"December 9th 2019, 21:42:12.173","node-18",9810,210
"December 9th 2019, 21:42:10.915","node-3",9997,8846
"December 9th 2019, 21:42:10.576","node-19",10093,5810
"December 9th 2019, 21:42:10.250","node-89",16709,442
"December 9th 2019, 21:42:09.656","node-91",14390,364
"December 9th 2019, 21:42:00.956","node-22",10461,523
"December 9th 2019, 21:42:00.059","node-23",9948,471
"December 9th 2019, 21:41:59.721","node-67",16550,6124
"December 9th 2019, 21:41:59.158","node-24",16733,317
"December 9th 2019, 21:41:58.463","node-21",10638,7997
